"","Rank of Current Players","Game","Current Players","Peak Today"
"1",1,"PLAYERUNKNOWN'S BATTLEGROUNDS",581958,926855
"2",2,"Dota 2",434313,700240
"3",3,"Counter-Strike: Global Offensive",290873,685353
"4",4,"Tom Clancy's Rainbow Six Siege",80229,114102
"5",5,"Grand Theft Auto V",61282,94685
"6",6,"Warframe",57119,73052
"7",7,"Path of Exile",54273,103108
"8",8,"MONSTER HUNTER: WORLD",45868,63955
"9",9,"Team Fortress 2",43207,56308
"10",10,"PUBG: Test Server",41305,54635
"11",11,"Rust",40685,66317
"12",12,"ARK: Survival Evolved",40220,60424
"13",13,"Rocket League",26864,58204
"14",14,"Sid Meier's Civilization V",26349,38470
"15",15,"Sid Meier's Civilization VI",25529,36914
"16",16,"Ring of Elysium",23149,46911
"17",17,"Stellaris",22503,34950
"18",18,"Garry's Mod",21798,42813
"19",19,"Football Manager 2019",20939,53297
"20",20,"Dead by Daylight",19260,28627
"21",21,"Terraria",18033,24033
"22",22,"PAYDAY 2",17718,22414
"23",23,"Fallout 4",16738,24227
"24",24,"Unturned",15799,23360
"25",25,"Total War: WARHAMMER II",14278,22424
"26",26,"NBA 2K19",14274,18683
"27",27,"DayZ",13477,28798
"28",28,"7 Days to Die",13138,18534
"29",29,"Assassin's Creed Odyssey",12231,17841
"30",30,"Stardew Valley",11693,12451
"31",31,"Paladins",11439,26463
"32",32,"Killing Floor 2",11310,12495
"33",33,"The Elder Scrolls V: Skyrim Special Edition",11258,16616
"34",34,"War Thunder",11208,18495
"35",35,"The Elder Scrolls Online",11105,18184
"36",36,"Hearts of Iron IV",11000,21753
"37",37,"RimWorld",10637,13160
"38",38,"The Witcher 3: Wild Hunt",10520,17773
"39",39,"Arma 3",10399,24097
"40",40,"Black Desert Online",10332,13118
"41",41,"Wallpaper Engine",10279,12593
"42",42,"Left 4 Dead 2",10266,14875
"43",43,"Europa Universalis IV",9885,22547
"44",44,"Don't Starve Together",9609,15186
"45",45,"Cities: Skylines",9237,14701
"46",46,"The Elder Scrolls V: Skyrim",8959,15435
"47",47,"Company of Heroes 2",8830,18163
"48",48,"Football Manager 2018",8319,18548
"49",49,"Euro Truck Simulator 2",8315,31832
"50",50,"DARK SOULS™ III",8285,11528
"51",51,"Age of Empires II: HD Edition",8144,14454
"52",52,"Slay the Spire",7958,9518
"53",53,"Divinity: Original Sin 2",7944,10775
"54",54,"Sins of a Solar Empire: Rebellion",7900,8015
"55",55,"VRChat",7704,7704
"56",56,"Farming Simulator 19",7463,25527
"57",57,"Tom Clancy's Ghost Recon® Wildlands",7405,9440
"58",58,"Artifact",7238,11146
"59",59,"The Forest",7150,13541
"60",60,"Elite Dangerous",7088,12777
"61",61,"Borderlands 2",6819,9081
"62",62,"Factorio",6665,10794
"63",63,"Insurgency: Sandstorm",6533,7283
"64",64,"FINAL FANTASY XIV Online",6448,8472
"65",65,"Brawlhalla",6363,14409
"66",66,"Crusader Kings II",6238,11255
"67",67,"Counter-Strike",6160,18868
"68",68,"Mount & Blade: Warband",6156,10951
"69",69,"SMITE",6042,10802
"70",70,"No Man's Sky",5861,7745
"71",71,"Dying Light",5739,8356
"72",72,"X4: Foundations",5214,9190
"73",73,"Shadowverse",5153,7261
"74",74,"Yu-Gi-Oh! Duel Links",5151,7991
"75",75,"MapleStory 2",5074,6277
"76",76,"Oxygen Not Included",5063,6809
"77",77,"World of Tanks Blitz",5048,16604
"78",78,"For Honor",4914,7395
"79",79,"Black Squad",4910,9481
"80",80,"Source SDK Base 2013 Multiplayer",4738,13932
"81",81,"Tom Clancy's The Division",4667,6733
"82",82,"Idle Champions of the Forgotten Realms",4650,5611
"83",83,"Heroes & Generals",4549,7838
"84",84,"The Binding of Isaac: Rebirth",4530,7746
"85",85,"Conan Exiles",4513,7236
"86",86,"Kenshi",4398,5192
"87",87,"Spacewar",4374,12470
"88",88,"Fallout: New Vegas",4278,6034
"89",89,"The Sims(TM) 3",4090,4951
"90",90,"World of Warships",4048,6084
"91",91,"NBA 2K18",4037,5497
"92",92,"Total War: ROME II - Emperor Edition",4017,8060
"93",93,"XCOM 2",3933,6319
"94",94,"Don't Starve",3886,5256
"95",95,"Human: Fall Flat",3818,8939
"96",96,"太吾绘卷 The Scroll Of Taiwu",3773,5028
"97",97,"Warhammer: Vermintide 2",3554,5951
"98",98,"Grim Dawn",3541,4864
"99",99,"Football Manager 2017",3468,7249
"100",100,"古剑奇谭三(Gujian3)",3352,3352
