"","Game","Rank of Playtime","Rank of Sales","Rank of CurrentPlayers","Release Date","Owners Level","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price","Current Players","Peak Today","Score Rank(Percentage)","User Score","Meta Score","Average of Playtime","Median of Playtime","Actural Players(Percentage)","Release Year","Release Month","Release Day"
"1","ARK: Survival Evolved",20,27,12,2017-08-27,"5,000,000 .. 10,000,000",5366000,5813000,447000,49.99,8.33,67,19.79,40220,60424,30,69,70,"20:51 ","06:37",7.97,2017,8,27
"2","Arma 3",23,53,39,2013-09-12,"2,000,000 .. 5,000,000",3564000,3918000,354000,39.99,9.93,66,13.59,10399,24097,73,89,74,"16:16 ","05:17",10.09,2013,9,12
"3","Artifact",22,357,58,2018-11-28,"500,000 .. 1,000,000",0,887000,887000,19.99,0,0,19.99,7238,11146,12,53,76,"16:44 ","08:43",80.4,2018,11,28
"4","Assassin's Creed Odyssey",54,296,29,2018-10-05,"1,000,000 .. 2,000,000",0,1046000,1046000,59.99,0,33,40.19,12231,17841,62,85,NA,"12:05 ","06:23",39.91,2018,10,5
"5","Black Desert Online",64,229,40,2017-05-24,"1,000,000 .. 2,000,000",1090000,1249000,159000,9.99,14.59,50,4.99,10332,13118,24,65,73,"37:47 ","02:37",6.54,2017,5,24
"6","Borderlands 2",48,14,61,2012-09-17,"5,000,000 .. 10,000,000",7826000,8078000,252000,19.99,3.22,75,4.99,6819,9081,95,96,89,"04:58 ","02:21",4.13,2012,9,17
"7","Cities: Skylines",43,38,45,2015-03-10,"2,000,000 .. 5,000,000",4259000,4727000,468000,29.99,10.99,75,7.49,9237,14701,80,91,85,"05:25 ","01:49",8.58,2015,3,10
"8","Company of Heroes 2",11,70,47,2013-06-25,"2,000,000 .. 5,000,000",2429000,3317000,888000,19.99,36.56,75,3.24,8830,18163,38,74,80,"04:16 ","04:32",22.79,2013,6,25
"9","Crusader Kings II",50,108,66,2012-02-14,"2,000,000 .. 5,000,000",2200000,2373000,173000,39.99,7.86,75,9.99,6238,11255,76,90,82,"11:03 ","03:55",2.91,2012,2,14
"10","Dead by Daylight",18,23,20,2016-06-14,"5,000,000 .. 10,000,000",2949000,6359000,3410000,19.99,115.63,50,9.99,19260,28627,44,77,71,"09:02 ","02:24",17.3,2016,6,14
