"","Rank of Playtime","Game","Release Date","Price","Owners","Actural Players(Percentage)","Average of Playtime","Median of Playtime","Release Year","Release Month","Release Day","ScoreRank","UserScore","MetaScore"
"1",1,"Counter-Strike: Global Offensive",2012-08-21,0,"20,000,000 .. 50,000,000",39.69,"13:38 ","05:08",2012,8,21,68,87,83
"2",2,"Dota 2",2013-07-09,0,"100,000,000 .. 200,000,000",16.71,"26:23 ","13:45",2013,7,9,65,86,90
"3",3,"PLAYERUNKNOWN'S BATTLEGROUNDS",2017-12-21,29.99,"50,000,000 .. 100,000,000",31.51,"11:58 ","03:54",2017,12,21,10,49,86
"4",4,"Tom Clancy's Rainbow Six Siege",2015-12-01,14.99,"5,000,000 .. 10,000,000",29,"11:49 ","04:57",2015,12,1,50,80,NA
"5",5,"Team Fortress 2",2007-10-10,0,"20,000,000 .. 50,000,000",5.97,"20:02 ","03:08",2007,10,10,87,93,92
"6",6,"Grand Theft Auto V",2015-04-13,14.99,"5,000,000 .. 10,000,000",18.06,"07:52 ","02:16",2015,4,13,30,69,96
"7",7,"Euro Truck Simulator 2",2012-10-12,19.99,"5,000,000 .. 10,000,000",22.77,"08:24 ","03:31",2012,10,12,95,96,79
"8",8,"Ring of Elysium",2018-09-19,0,"2,000,000 .. 5,000,000",29.91,"06:04 ","01:47",2018,9,19,44,77,NA
"9",9,"Rocket League",2015-07-07,19.99,"5,000,000 .. 10,000,000",20.92,"08:56 ","03:25",2015,7,7,83,92,86
"10",10,"Rust",2018-02-08,34.99,"5,000,000 .. 10,000,000",11.82,"24:30 ","09:18",2018,2,8,50,80,69
"11",11,"Company of Heroes 2",2013-06-25,19.99,"2,000,000 .. 5,000,000",22.79,"04:16 ","04:32",2013,6,25,38,74,80
"12",12,"Garry's Mod",2006-11-29,9.99,"10,000,000 .. 20,000,000",9.45,"10:03 ","02:10",2006,11,29,92,95,NA
"13",13,"Warframe",2013-03-25,0,"20,000,000 .. 50,000,000",6.6,"16:33 ","02:57",2013,3,25,83,92,71
"14",14,"Wallpaper Engine",2018-11-16,3.99,"5,000,000 .. 10,000,000",29.16,"02:10 ","00:11",2018,11,16,95,96,NA
"15",15,"MONSTER HUNTER: WORLD",2018-08-09,59.99,"5,000,000 .. 10,000,000",31.37,"14:08 ","05:10",2018,8,9,23,64,88
"16",16,"PAYDAY 2",2013-08-13,9.99,"10,000,000 .. 20,000,000",4.34,"11:03 ","02:34",2013,8,13,57,83,79
"17",17,"Path of Exile",2013-10-23,0,"10,000,000 .. 20,000,000",6.39,"22:11 ","10:33",2013,10,23,83,92,86
"18",18,"Dead by Daylight",2016-06-14,19.99,"5,000,000 .. 10,000,000",17.3,"09:02 ","02:24",2016,6,14,44,77,71
"19",19,"Unturned",2017-07-07,0,"20,000,000 .. 50,000,000",2.91,"14:05 ","01:57",2017,7,7,76,90,NA
"20",20,"ARK: Survival Evolved",2017-08-27,49.99,"5,000,000 .. 10,000,000",7.97,"20:51 ","06:37",2017,8,27,30,69,70
"21",21,"Counter-Strike",2000-11-01,9.99,"10,000,000 .. 20,000,000",5.55,"19:36 ","01:06",2000,11,1,95,96,88
"22",22,"Artifact",2018-11-28,19.99,"500,000 .. 1,000,000",80.4,"16:44 ","08:43",2018,11,28,12,53,76
"23",23,"Arma 3",2013-09-12,39.99,"2,000,000 .. 5,000,000",10.09,"16:16 ","05:17",2013,9,12,73,89,74
