"","Rank of Sales","Game","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price"
"1",1,"PLAYERUNKNOWN'S BATTLEGROUNDS",45374000,64106000,18732000,29.99,41.28,33,19.99
"2",2,"Left 4 Dead 2",18189000,19143000,954000,9.99,5.24,90,1.99
"3",3,"PAYDAY 2",14866000,15410000,544000,9.99,3.66,50,4.99
"4",4,"Half-Life 2: Deathmatch",14435000,14725000,290000,4.99,2.01,90,0.79
"5",5,"Garry's Mod",13715000,14518000,803000,9.99,5.85,75,2.49
"6",6,"Counter-Strike: Condition Zero",7700000,11379000,3679000,9.99,47.78,90,0.99
"7",7,"Portal 2",8046000,10830000,2784000,9.99,34.6,90,1.99
"8",8,"Portal",10443000,10633000,190000,9.99,1.82,90,0.99
"9",9,"Grand Theft Auto V",9008000,9954000,946000,29.99,10.5,67,14.99
"10",10,"Half-Life 2",5189000,9878000,4689000,9.99,90.36,90,0.99
"11",11,"Terraria",9137000,9568000,431000,9.99,4.72,50,4.99
"12",12,"Deathmatch Classic",5276000,8462000,3186000,4.99,60.39,80,0.99
"13",13,"Half-Life Deathmatch: Source",8061000,8434000,373000,9.99,4.63,90,0.99
"14",14,"Borderlands 2",7826000,8078000,252000,19.99,3.22,75,4.99
"15",15,"Don't Starve Together",7244000,7746000,502000,14.99,6.93,60,5.99
"16",16,"Day of Defeat",7561000,7718000,157000,4.99,2.08,80,0.99
"17",17,"MONSTER HUNTER: WORLD",0,7407000,7407000,59.99,0,34,39.59
"18",18,"The Elder Scrolls V: Skyrim Special Edition",7180000,7196000,16000,39.99,0.22,50,19.99
"19",19,"Ricochet",5506000,7169000,1663000,4.99,30.2,90,0.49
"20",20,"Half-Life 2: Episode One",6839000,7052000,213000,7.99,3.11,90,0.79
"21",21,"Rust",6190000,6828000,638000,34.99,10.31,75,8.74
"22",22,"Day of Defeat: Source",4847000,6591000,1744000,9.99,35.98,90,0.99
"23",23,"Dead by Daylight",2949000,6359000,3410000,19.99,115.63,50,9.99
"24",24,"Half-Life 2: Episode Two",6058000,6165000,107000,7.99,1.77,90,0.79
"25",25,"Half-Life: Opposing Force",5784000,5983000,199000,4.99,3.44,80,0.99
"26",26,"Half-Life: Blue Shift",5893000,5904000,11000,4.99,0.19,80,0.99
"27",27,"ARK: Survival Evolved",5366000,5813000,447000,49.99,8.33,67,19.79
"28",28,"ARK: Survival Of The Fittest",5432000,5599000,167000,49.99,3.07,67,19.79
"29",29,"Chivalry: Medieval Warfare",5338000,5415000,77000,24.99,1.44,85,3.74
"30",30,"Euro Truck Simulator 2",4786000,5402000,616000,19.99,12.87,75,4.99
"31",31,"Left 4 Dead",5175000,5398000,223000,9.99,4.31,90,1.99
"32",32,"Tomb Raider",5185000,5381000,196000,19.99,3.78,85,2.99
"33",33,"Age of Empires II HD",4815000,5216000,401000,19.99,8.33,80,3.99
"34",34,"Wallpaper Engine",4423000,5140000,717000,3.99,16.21,0,3.99
"35",35,"The Witcher 3: Wild Hunt",4095000,5133000,1038000,39.99,25.35,50,19.99
"36",36,"Fallout 4",4696000,5049000,353000,29.99,7.52,50,14.99
"37",37,"Don't Starve",4623000,4825000,202000,9.99,4.37,75,2.49
"38",38,"Cities: Skylines",4259000,4727000,468000,29.99,10.99,75,7.49
"39",39,"Killing Floor",4662000,4704000,42000,19.99,0.9,85,2.99
"40",40,"Grand Theft Auto IV",4377000,4550000,173000,19.99,3.95,65,6.99
"41",41,"Outlast",4217000,4485000,268000,19.99,6.36,80,3.99
"42",42,"FOR HONOR",682000,4418000,3736000,14.99,547.8,75,7.49
"43",43,"Guns of Icarus Online",4229000,4405000,176000,4.99,4.16,90,0.49
"44",44,"BioShock Infinite",3791000,4395000,604000,29.99,15.93,75,7.49
"45",45,"LIMBO",3428000,4343000,915000,9.99,26.69,80,1.99
"46",46,"PAYDAY The Heist",4270000,4312000,42000,14.99,0.98,80,2.99
"47",47,"Saints Row: The Third",4202000,4266000,64000,9.99,1.52,75,2.49
"48",48,"Just Cause 2",4106000,4191000,85000,14.99,2.07,90,1.49
"49",49,"Middle-earth: Shadow of Mordor",3461000,4126000,665000,19.99,19.21,60,7.99
"50",50,"The Forest",3708000,4122000,414000,19.99,11.17,33,13.39
"51",51,"Castle Crashers",3466000,4072000,606000,14.99,17.48,80,2.99
"52",52,"DISTRAINT: Deluxe Edition",237000,4002000,3765000,4.99,1588.61,83,0.84
"53",53,"Arma 3",3564000,3918000,354000,39.99,9.93,66,13.59
"54",54,"Stardew Valley",3345000,3850000,505000,14.99,15.1,20,11.99
"55",55,"Torchlight II",3047000,3810000,763000,19.99,25.04,80,3.99
"56",56,"Call of Duty: Black Ops",3606000,3721000,115000,39.99,3.19,51,19.59
"57",57,"Total War: EMPIRE – Definitive Edition",3449000,3695000,246000,24.99,7.13,75,4.99
"58",58,"Saints Row IV",3475000,3647000,172000,14.99,4.95,75,3.74
"59",59,"Warhammer 40,000: Space Marine",1086000,3575000,2489000,29.99,229.19,75,7.49
"60",60,"Magicka",3493000,3524000,31000,9.99,0.89,75,2.49
"61",61,"Batman: Arkham City - Game of the Year Edition",2707000,3500000,793000,19.99,29.29,75,4.99
"62",62,"Half-Life: Source",3364000,3479000,115000,9.99,3.42,90,0.99
"63",63,"Far Cry 3",3311000,3461000,150000,19.99,4.53,66,6.79
"64",64,"Borderlands",3402000,3437000,35000,19.99,1.03,75,4.99
"65",65,"Sniper Elite V2",3387000,3417000,30000,19.99,0.89,70,5.99
"66",66,"Hacknet",682000,3390000,2708000,9.99,397.07,80,1.99
"67",67,"Layers of Fear",3039000,3368000,329000,19.99,10.83,75,4.99
"68",68,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm",3257000,3342000,85000,19.99,2.61,75,4.99
"69",69,"Dishonored",3216000,3323000,107000,9.99,3.33,75,2.49
"70",70,"Company of Heroes 2",2429000,3317000,888000,19.99,36.56,75,3.24
"71",71,"Call of Duty: Black Ops II",3138000,3218000,80000,59.99,2.55,51,29.39
"72",72,"Saints Row 2",2407000,3160000,753000,9.99,31.28,75,2.49
"73",73,"Hitman: Absolution",2708000,3078000,370000,19.99,13.66,75,4.99
"74",74,"Undertale",2897000,3061000,164000,9.99,5.66,50,4.99
"75",75,"The Tiny Bang Story",209000,3010000,2801000,4.99,1340.19,75,1.24
"76",76,"BattleBlock Theater",2822000,2978000,156000,14.99,5.53,80,2.99
"77",77,"Batman: Arkham Asylum Game of the Year Edition",2909000,2961000,52000,19.99,1.79,75,4.99
"78",78,"Orwell: Keeping an Eye On You",267000,2950000,2683000,9.99,1004.87,60,3.99
"79",79,"Mount & Blade: Warband",2742000,2909000,167000,19.99,6.09,75,4.99
"80",80,"Starbound",2862000,2889000,27000,14.99,0.94,33,10.04
"81",81,"Dying Light",2558000,2865000,307000,39.99,12,60,15.99
"82",82,"Total War: ROME II - Emperor Edition",2601000,2857000,256000,59.95,9.84,75,14.98
"83",83,"Goat Simulator",2747000,2837000,90000,9.99,3.28,75,2.49
"84",84,"FTL: Faster Than Light",2743000,2816000,73000,9.99,2.66,75,2.49
"85",85,"Subnautica",2199000,2807000,608000,24.99,27.65,25,18.74
"86",86,"Mirror's Edge",2709000,2749000,40000,19.99,1.48,75,4.99
"87",87,"Grand Theft Auto: Episodes from Liberty City",2678000,2733000,55000,19.99,2.05,65,6.99
