"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"1","PLAYERUNKNOWN'S BATTLEGROUNDS","45,374,000","64,106,000","18,732,000","41.28%","$29.99","33% ($19.99)","49% (86%)"
"2","Left 4 Dead 2","18,189,000","19,143,000","954,000","5.24%","$9.99","90% ($1.99)","96% (89%)"
"3","PAYDAY 2","14,866,000","15,410,000","544,000","3.66%","$9.99","50% ($4.99)","83% (79%)"
"4","Half-Life 2: Deathmatch","14,435,000","14,725,000","290,000","2.01%","$4.99","90% ($0.79)","86% (N/A)"
"5","Garry's Mod","13,715,000","14,518,000","803,000","5.85%","$9.99","75% ($2.49)","95% (N/A)"
"6","Counter-Strike: Condition Zero","7,700,000","11,379,000","3,679,000","47.78%","$9.99","90% ($0.99)","88% (65%)"
"7","Portal 2","8,046,000","10,830,000","2,784,000","34.6%","$9.99","90% ($1.99)","98% (95%)"
"8","Portal","10,443,000","10,633,000","190,000","1.82%","$9.99","90% ($0.99)","97% (90%)"
"9","Grand Theft Auto V","9,008,000","9,954,000","946,000","10.5%","$29.99","67% ($14.99)","69% (96%)"
"10","Half-Life 2","5,189,000","9,878,000","4,689,000","90.36%","$9.99","90% ($0.99)","96% (96%)"
"11","Terraria","9,137,000","9,568,000","431,000","4.72%","$9.99","50% ($4.99)","97% (83%)"
"12","Deathmatch Classic","5,276,000","8,462,000","3,186,000","60.39%","$4.99","80% ($0.99)","80% (N/A)"
"13","Half-Life Deathmatch: Source","8,061,000","8,434,000","373,000","4.63%","$9.99","90% ($0.99)","73% (N/A)"
"14","Borderlands 2","7,826,000","8,078,000","252,000","3.22%","$19.99","75% ($4.99)","96% (89%)"
"15","Don't Starve Together","7,244,000","7,746,000","502,000","6.93%","$14.99","60% ($5.99)","96% (83%)"
"16","Day of Defeat","7,561,000","7,718,000","157,000","2.08%","$4.99","80% ($0.99)","86% (79%)"
"17","MONSTER HUNTER: WORLD","0","7,407,000","7,407,000","0%","$59.99","34% ($39.59)","64% (88%)"
"18","The Elder Scrolls V: Skyrim Special Edition","7,180,000","7,196,000","16,000","0.22%","$39.99","50% ($19.99)","82% (74%)"
"19","Ricochet","5,506,000","7,169,000","1,663,000","30.2%","$4.99","90% ($0.49)","77% (N/A)"
"20","Half-Life 2: Episode One","6,839,000","7,052,000","213,000","3.11%","$7.99","90% ($0.79)","93% (87%)"
"21","Rust","6,190,000","6,828,000","638,000","10.31%","$34.99","75% ($8.74)","80% (69%)"
"22","Day of Defeat: Source","4,847,000","6,591,000","1,744,000","35.98%","$9.99","90% ($0.99)","88% (80%)"
"23","Dead by Daylight","2,949,000","6,359,000","3,410,000","115.63%","$19.99","50% ($9.99)","77% (71%)"
"24","Half-Life 2: Episode Two","6,058,000","6,165,000","107,000","1.77%","$7.99","90% ($0.79)","95% (90%)"
"25","Half-Life: Opposing Force","5,784,000","5,983,000","199,000","3.44%","$4.99","80% ($0.99)","94% (N/A)"
"26","Half-Life: Blue Shift","5,893,000","5,904,000","11,000","0.19%","$4.99","80% ($0.99)","89% (71%)"
"27","ARK: Survival Evolved","5,366,000","5,813,000","447,000","8.33%","$49.99","67% ($19.79)","69% (70%)"
"28","ARK: Survival Of The Fittest","5,432,000","5,599,000","167,000","3.07%","$49.99","67% ($19.79)","63% (N/A)"
"29","Chivalry: Medieval Warfare","5,338,000","5,415,000","77,000","1.44%","$24.99","85% ($3.74)","83% (79%)"
"30","Euro Truck Simulator 2","4,786,000","5,402,000","616,000","12.87%","$19.99","75% ($4.99)","96% (79%)"
"31","Left 4 Dead","5,175,000","5,398,000","223,000","4.31%","$9.99","90% ($1.99)","94% (89%)"
"32","Tomb Raider","5,185,000","5,381,000","196,000","3.78%","$19.99","85% ($2.99)","95% (86%)"
"33","Age of Empires II HD","4,815,000","5,216,000","401,000","8.33%","$19.99","80% ($3.99)","94% (68%)"
"34","Wallpaper Engine","4,423,000","5,140,000","717,000","16.21%","$3.99","0% ($3.99)","96% (N/A)"
"35","The Witcher 3: Wild Hunt","4,095,000","5,133,000","1,038,000","25.35%","$39.99","50% ($19.99)","97% (93%)"
"36","Fallout 4","4,696,000","5,049,000","353,000","7.52%","$29.99","50% ($14.99)","70% (84%)"
"37","Don't Starve","4,623,000","4,825,000","202,000","4.37%","$9.99","75% ($2.49)","96% (79%)"
"38","Cities: Skylines","4,259,000","4,727,000","468,000","10.99%","$29.99","75% ($7.49)","91% (85%)"
"39","Killing Floor","4,662,000","4,704,000","42,000","0.9%","$19.99","85% ($2.99)","96% (72%)"
"40","Grand Theft Auto IV","4,377,000","4,550,000","173,000","3.95%","$19.99","65% ($6.99)","63% (90%)"
"41","Outlast","4,217,000","4,485,000","268,000","6.36%","$19.99","80% ($3.99)","96% (80%)"
"42","FOR HONOR","682,000","4,418,000","3,736,000","547.8%","$14.99","75% ($7.49)","54% (76%)"
"43","Guns of Icarus Online","4,229,000","4,405,000","176,000","4.16%","$4.99","90% ($0.49)","92% (64%)"
"44","BioShock Infinite","3,791,000","4,395,000","604,000","15.93%","$29.99","75% ($7.49)","95% (94%)"
"45","LIMBO","3,428,000","4,343,000","915,000","26.69%","$9.99","80% ($1.99)","93% (88%)"
"46","PAYDAY The Heist","4,270,000","4,312,000","42,000","0.98%","$14.99","80% ($2.99)","92% (76%)"
"47","Saints Row: The Third","4,202,000","4,266,000","64,000","1.52%","$9.99","75% ($2.49)","96% (84%)"
"48","Just Cause 2","4,106,000","4,191,000","85,000","2.07%","$14.99","90% ($1.49)","91% (84%)"
"49","Middle-earth: Shadow of Mordor","3,461,000","4,126,000","665,000","19.21%","$19.99","60% ($7.99)","91% (N/A)"
"50","The Forest","3,708,000","4,122,000","414,000","11.17%","$19.99","33% ($13.39)","92% (83%)"
"51","Castle Crashers","3,466,000","4,072,000","606,000","17.48%","$14.99","80% ($2.99)","96% (N/A)"
"52","DISTRAINT: Deluxe Edition","237,000","4,002,000","3,765,000","1588.61%","$4.99","83% ($0.84)","94% (76%)"
"53","Arma 3","3,564,000","3,918,000","354,000","9.93%","$39.99","66% ($13.59)","89% (74%)"
"54","Stardew Valley","3,345,000","3,850,000","505,000","15.1%","$14.99","20% ($11.99)","97% (89%)"
"55","Torchlight II","3,047,000","3,810,000","763,000","25.04%","$19.99","80% ($3.99)","94% (88%)"
"56","Call of Duty: Black Ops","3,606,000","3,721,000","115,000","3.19%","$39.99","51% ($19.59)","85% (81%)"
"57","Total War: EMPIRE – Definitive Edition","3,449,000","3,695,000","246,000","7.13%","$24.99","75% ($4.99)","88% (N/A)"
"58","Saints Row IV","3,475,000","3,647,000","172,000","4.95%","$14.99","75% ($3.74)","92% (86%)"
"59","Warhammer 40,000: Space Marine","1,086,000","3,575,000","2,489,000","229.19%","$29.99","75% ($7.49)","91% (74%)"
"60","Magicka","3,493,000","3,524,000","31,000","0.89%","$9.99","75% ($2.49)","91% (74%)"
"61","Batman: Arkham City - Game of the Year Edition","2,707,000","3,500,000","793,000","29.29%","$19.99","75% ($4.99)","94% (91%)"
"62","Half-Life: Source","3,364,000","3,479,000","115,000","3.42%","$9.99","90% ($0.99)","77% (N/A)"
"63","Far Cry 3","3,311,000","3,461,000","150,000","4.53%","$19.99","66% ($6.79)","88% (88%)"
"64","Borderlands","3,402,000","3,437,000","35,000","1.03%","$19.99","75% ($4.99)","93% (81%)"
"65","Sniper Elite V2","3,387,000","3,417,000","30,000","0.89%","$19.99","70% ($5.99)","87% (66%)"
"66","Hacknet","682,000","3,390,000","2,708,000","397.07%","$9.99","80% ($1.99)","92% (82%)"
"67","Layers of Fear","3,039,000","3,368,000","329,000","10.83%","$19.99","75% ($4.99)","91% (72%)"
"68","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","3,257,000","3,342,000","85,000","2.61%","$19.99","75% ($4.99)","93% (76%)"
"69","Dishonored","3,216,000","3,323,000","107,000","3.33%","$9.99","75% ($2.49)","96% (91%)"
"70","Company of Heroes 2","2,429,000","3,317,000","888,000","36.56%","$19.99","75% ($3.24)","74% (80%)"
"71","Call of Duty: Black Ops II","3,138,000","3,218,000","80,000","2.55%","$59.99","51% ($29.39)","82% (74%)"
"72","Saints Row 2","2,407,000","3,160,000","753,000","31.28%","$9.99","75% ($2.49)","76% (72%)"
"73","Hitman: Absolution","2,708,000","3,078,000","370,000","13.66%","$19.99","75% ($4.99)","90% (79%)"
"74","Undertale","2,897,000","3,061,000","164,000","5.66%","$9.99","50% ($4.99)","95% (92%)"
"75","The Tiny Bang Story","209,000","3,010,000","2,801,000","1340.19%","$4.99","75% ($1.24)","88% (63%)"
"76","BattleBlock Theater","2,822,000","2,978,000","156,000","5.53%","$14.99","80% ($2.99)","97% (85%)"
"77","Batman: Arkham Asylum Game of the Year Edition","2,909,000","2,961,000","52,000","1.79%","$19.99","75% ($4.99)","95% (91%)"
"78","Orwell: Keeping an Eye On You","267,000","2,950,000","2,683,000","1004.87%","$9.99","60% ($3.99)","92% (77%)"
"79","Mount & Blade: Warband","2,742,000","2,909,000","167,000","6.09%","$19.99","75% ($4.99)","97% (78%)"
"80","Starbound","2,862,000","2,889,000","27,000","0.94%","$14.99","33% ($10.04)","91% (81%)"
"81","Dying Light","2,558,000","2,865,000","307,000","12%","$39.99","60% ($15.99)","92% (87%)"
"82","Total War: ROME II - Emperor Edition","2,601,000","2,857,000","256,000","9.84%","$59.95","75% ($14.98)","67% (76%)"
"83","Goat Simulator","2,747,000","2,837,000","90,000","3.28%","$9.99","75% ($2.49)","88% (62%)"
"84","FTL: Faster Than Light","2,743,000","2,816,000","73,000","2.66%","$9.99","75% ($2.49)","96% (84%)"
"85","Subnautica","2,199,000","2,807,000","608,000","27.65%","$24.99","25% ($18.74)","94% (87%)"
"86","Mirror's Edge","2,709,000","2,749,000","40,000","1.48%","$19.99","75% ($4.99)","87% (81%)"
"87","Grand Theft Auto: Episodes from Liberty City","2,678,000","2,733,000","55,000","2.05%","$19.99","65% ($6.99)","71% (N/A)"
"88","Super Meat Boy","2,652,000","2,693,000","41,000","1.55%","$14.99","90% ($1.49)","94% (87%)"
"89","DARK SOULS III","2,188,000","2,635,000","447,000","20.43%","$59.99","75% ($14.99)","90% (89%)"
"90","Trine 2: Complete Story","2,246,000","2,617,000","371,000","16.52%","$19.99","85% ($2.99)","95% (84%)"
"91","Bastion","2,071,000","2,603,000","532,000","25.69%","$14.99","80% ($2.99)","96% (86%)"
"92","Homefront","2,569,000","2,571,000","2,000","0.08%","$19.99","75% ($4.99)","62% (70%)"
"93","Mafia II","2,464,000","2,568,000","104,000","4.22%","$29.99","75% ($7.49)","93% (77%)"
"94","Sanctum 2","1,501,000","2,544,000","1,043,000","69.49%","$14.99","80% ($2.99)","93% (77%)"
"95","DOOM","2,331,000","2,537,000","206,000","8.84%","$19.99","50% ($9.99)","92% (85%)"
"96","The Bureau: XCOM Declassified","2,081,000","2,517,000","436,000","20.95%","$19.99","80% ($3.99)","66% (66%)"
"97","Divinity: Original Sin 2 - Definitive Edition","1,827,000","2,491,000","664,000","36.34%","$44.99","35% ($29.24)","94% (93%)"
"98","Age of Empires III: Complete Collection","2,467,000","2,471,000","4,000","0.16%","$39.99","75% ($9.99)","88% (81%)"
"99","Company of Heroes: Opposing Fronts","2,409,000","2,463,000","54,000","2.24%","$19.99","75% ($4.99)","90% (87%)"
"100","Sid Meier's Civilization III Complete","2,437,000","2,459,000","22,000","0.9%","$4.99","75% ($1.24)","89% (90%)"
"101","Amnesia: A Machine for Pigs","1,668,000","2,433,000","765,000","45.86%","$19.99","85% ($2.99)","65% (72%)"
"102","F1 2015","2,235,000","2,428,000","193,000","8.64%","$39.99","75% ($9.99)","44% (61%)"
"103","Orcs Must Die! 2","2,120,000","2,420,000","300,000","14.15%","$14.99","75% ($3.74)","94% (83%)"
"104","Sid Meier’s Civilization VI","2,224,000","2,420,000","196,000","8.81%","$59.99","70% ($17.99)","68% (88%)"
"105","Space Engineers","2,225,000","2,414,000","189,000","8.49%","$39.99","60% ($9.99)","87% (N/A)"
"106","Rise of the Tomb Raider","2,099,000","2,403,000","304,000","14.48%","$59.99","80% ($11.99)","92% (86%)"
"107","South Park: The Stick of Truth","2,294,000","2,384,000","90,000","3.92%","$29.99","75% ($7.49)","97% (N/A)"
"108","Crusader Kings II","2,200,000","2,373,000","173,000","7.86%","$39.99","75% ($9.99)","90% (82%)"
"109","This War of Mine","2,230,000","2,370,000","140,000","6.28%","$19.99","75% ($4.99)","94% (83%)"
"110","Prison Architect","2,306,000","2,370,000","64,000","2.78%","$29.99","75% ($7.49)","93% (83%)"
