"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"1","Counter-Strike: Global Offensive","Aug 21, 2012","Free","68% (87%/83%)","20,000,000 .. 50,000,000","39.69%","13:38 (05:08)"
"2","Dota 2","Jul 9, 2013","Free","65% (86%/90%)","100,000,000 .. 200,000,000","16.71%","26:23 (13:45)"
"3","PLAYERUNKNOWN'S BATTLEGROUNDS","Dec 21, 2017","$29.99","10% (49%/86%)","50,000,000 .. 100,000,000","31.51%","11:58 (03:54)"
"4","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$14.99","50% (80%)","5,000,000 .. 10,000,000","29%","11:49 (04:57)"
"5","Team Fortress 2","Oct 10, 2007","Free","87% (93%/92%)","20,000,000 .. 50,000,000","5.97%","20:02 (03:08)"
"6","Grand Theft Auto V","Apr 13, 2015","$14.99","30% (69%/96%)","5,000,000 .. 10,000,000","18.06%","07:52 (02:16)"
"7","Euro Truck Simulator 2","Oct 12, 2012","$19.99","95% (96%/79%)","5,000,000 .. 10,000,000","22.77%","08:24 (03:31)"
"8","Ring of Elysium","Sep 19, 2018","Free","44% (77%)","2,000,000 .. 5,000,000","29.91%","06:04 (01:47)"
"9","Rocket League","Jul 7, 2015","$19.99","83% (92%/86%)","5,000,000 .. 10,000,000","20.92%","08:56 (03:25)"
"10","Rust","Feb 8, 2018","$34.99","50% (80%/69%)","5,000,000 .. 10,000,000","11.82%","24:30 (09:18)"
"11","Company of Heroes 2","Jun 25, 2013","$19.99","38% (74%/80%)","2,000,000 .. 5,000,000","22.79%","04:16 (04:32)"
"12","Garry's Mod","Nov 29, 2006","$9.99","92% (95%)","10,000,000 .. 20,000,000","9.45%","10:03 (02:10)"
"13","Warframe","Mar 25, 2013","Free","83% (92%/71%)","20,000,000 .. 50,000,000","6.6%","16:33 (02:57)"
"14","Wallpaper Engine","Nov 16, 2018","$3.99","95% (96%)","5,000,000 .. 10,000,000","29.16%","02:10 (00:11)"
"15","MONSTER HUNTER: WORLD","Aug 9, 2018","$59.99","23% (64%/88%)","5,000,000 .. 10,000,000","31.37%","14:08 (05:10)"
"16","PAYDAY 2","Aug 13, 2013","$9.99","57% (83%/79%)","10,000,000 .. 20,000,000","4.34%","11:03 (02:34)"
"17","Path of Exile","Oct 23, 2013","Free","83% (92%/86%)","10,000,000 .. 20,000,000","6.39%","22:11 (10:33)"
"18","Dead by Daylight","Jun 14, 2016","$19.99","44% (77%/71%)","5,000,000 .. 10,000,000","17.3%","09:02 (02:24)"
"19","Unturned","Jul 7, 2017","Free","76% (90%)","20,000,000 .. 50,000,000","2.91%","14:05 (01:57)"
"20","ARK: Survival Evolved","Aug 27, 2017","$49.99","30% (69%/70%)","5,000,000 .. 10,000,000","7.97%","20:51 (06:37)"
"21","Counter-Strike","Nov 1, 2000","$9.99","95% (96%/88%)","10,000,000 .. 20,000,000","5.55%","19:36 (01:06)"
"22","Artifact","Nov 28, 2018","$19.99","12% (53%/76%)","500,000 .. 1,000,000","80.4%","16:44 (08:43)"
"23","Arma 3","Sep 12, 2013","$39.99","73% (89%/74%)","2,000,000 .. 5,000,000","10.09%","16:16 (05:17)"
"24","Paladins","May 8, 2018","Free","60% (84%/83%)","10,000,000 .. 20,000,000","4.6%","06:51 (01:51)"
"25","Terraria","May 16, 2011","$9.99","97% (97%/83%)","5,000,000 .. 10,000,000","6.95%","08:28 (01:59)"
"26","Brawlhalla","Oct 17, 2017","Free","60% (84%)","10,000,000 .. 20,000,000","7.43%","05:10 (01:15)"
"27","War Thunder","Aug 15, 2013","Free","50% (80%/81%)","10,000,000 .. 20,000,000","4.28%","10:27 (02:59)"
"28","Left 4 Dead 2","Nov 16, 2009","$9.99","95% (96%/89%)","10,000,000 .. 20,000,000","4.51%","04:57 (01:13)"
"29","The Witcher 3: Wild Hunt","May 18, 2015","$39.99","97% (97%/93%)","5,000,000 .. 10,000,000","7.39%","08:17 (02:09)"
"30","Hearts of Iron IV","Jun 6, 2016","$39.99","65% (86%/83%)","1,000,000 .. 2,000,000","21.87%","09:59 (05:17)"
"31","Fallout 4","Nov 9, 2015","$29.99","32% (70%/84%)","5,000,000 .. 10,000,000","8.78%","08:06 (01:52)"
