"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","YouTube","Playtime (Median)"
"1","KILL","Aug 15, 2016","$5.99","N/A (N/A)","1,000","17,355,467","00:00 (00:00)"
"2","Hello Neighbor","Dec 8, 2017","$29.99","33% (71%/38%)","112,000","16,267,737","02:37 (00:52)"
"3","Dead","Apr 6, 2018","$4.99","N/A (N/A)","7,000","11,068,530","00:00 (00:00)"
"4","Call of Duty: Black Ops III","Nov 5, 2015","$59.99","23% (64%/73%)","1,592,000","8,761,736","03:03 (00:54)"
"5","TANKS","Jun 12, 2018","$4.99","N/A (N/A)","3,000","8,536,395","24:56 (12:28)"
"6","Rumble","Oct 14, 2015","$1.99","N/A (N/A)","11,000","8,253,578","00:00 (00:00)"
"7","Golf It!","Feb 17, 2017","$8.99","50% (80%)","447,000","7,479,396","01:50 (01:10)"
"8","Redemption","Aug 11, 2016","$14.99","N/A (N/A)","1,000","7,183,894","00:00 (00:00)"
"9","Mini World: Block Art","Apr 27, 2018","$1.99","42% (76%)","19,000","5,965,669","03:50 (05:06)"
"10","May","May 10, 2018","$4.99","N/A (N/A)","1,000","5,915,160","00:00 (00:00)"
"11","Thief Simulator","Nov 9, 2018","$19.99","50% (80%)","75,000","5,751,351","02:44 (01:59)"
"12","Link","Apr 22, 2016","$4.99","N/A (N/A)","11,000","5,670,941","00:00 (00:00)"
"13","NBA 2K19","Sep 10, 2018","$59.99","2% (27%/76%)","277,000","5,594,388","20:24 (10:32)"
"14","DOOM","May 12, 2016","$19.99","83% (92%/85%)","2,538,000","5,248,938","03:01 (00:52)"
"15","ARK: Survival Evolved","Aug 27, 2017","$49.99","30% (69%/70%)","5,820,000","5,160,316","20:51 (06:37)"
"16","HITMAN","Mar 11, 2016","Free","44% (77%)","1,961,000","4,994,217","06:15 (01:58)"
"17","HITMAN 2","Nov 13, 2018","$59.99","83% (92%)","291,000","4,983,087","04:31 (00:53)"
"18","Rust","Feb 8, 2018","$34.99","50% (80%/69%)","6,837,000","4,790,212","24:30 (09:18)"
"19","MONSTER HUNTER: WORLD","Aug 9, 2018","$59.99","23% (64%/88%)","7,526,000","4,666,800","14:08 (05:10)"
"20","Human: Fall Flat","Jul 22, 2016","$14.99","76% (90%/70%)","1,742,000","4,624,186","03:30 (01:12)"
"21","ReThink | Evolved","Sep 15, 2017","$9.99","N/A (N/A)","1,000","4,530,502","00:00 (00:00)"
"22","Just Cause 4","Dec 4, 2018","$59.99","4% (34%/72%)","52,000","4,343,491","11:05 (09:37)"
"23","Nightmare","Dec 20, 2016","$3.99","N/A (N/A)","64,000","4,317,294","00:00 (00:00)"
"24","Mortal Kombat X","Apr 13, 2015","$19.99","42% (76%/76%)","1,336,000","3,728,648","06:42 (00:48)"
"25","SHARK","May 10, 2018","$0.99","N/A (N/A)","8,000","3,621,768","00:17 (00:05)"
"26","The Forest","Apr 30, 2018","$19.99","83% (92%/83%)","4,122,000","3,525,425","04:13 (01:59)"
"27","PLAYERUNKNOWN'S BATTLEGROUNDS","Dec 21, 2017","$29.99","10% (49%/86%)","62,727,000","3,291,629","11:58 (03:54)"
"28","Flip","Feb 15, 2016","Free","N/A (N/A)","2,000","3,152,616","00:00 (00:00)"
"29","BeamNG.drive","May 29, 2015","$24.99","73% (89%)","772,000","3,107,499","03:57 (01:22)"
"30","Extinction","Apr 9, 2018","$59.99","6% (40%/51%)","4,000","3,043,913","00:00 (00:00)"
"31","Evil","Mar 17, 2017","$2.99","N/A (N/A)","1,000","2,757,858","00:00 (00:00)"
"32","Farming Simulator 19","Nov 19, 2018","$34.99","42% (76%/72%)","259,000","2,749,685","20:23 (12:10)"
"33","Dead by Daylight","Jun 14, 2016","$19.99","44% (77%/71%)","6,305,000","2,699,404","09:02 (02:24)"
"34","Hollow","Nov 16, 2017","$19.99","6% (40%)","5,000","2,642,157","00:00 (00:00)"
"35","M.I.N.D.","May 23, 2018","$0.99","N/A (N/A)","3,000","2,619,729","00:00 (00:00)"
"36","Snowman","Jan 27, 2017","$0.99","10% (49%)","298,000","2,585,524","02:20 (00:46)"
"37","Dark Matter","May 4, 2018","$0.99","N/A (N/A)","4,000","2,558,688","00:00 (00:00)"
"38","Dark Matter","Feb 27, 2015","$4.99","N/A (N/A)","105,000","2,539,392","14:22 (04:47)"
"39","Rocket League","Jul 7, 2015","$19.99","83% (92%/86%)","7,908,000","2,371,730","08:56 (03:25)"
"40","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$14.99","50% (80%)","7,503,000","2,288,653","11:49 (04:57)"
"41","Identity","Nov 30, 2018","$29.99","7% (42%)","18,000","2,278,476","03:55 (01:50)"
"42","Help","Oct 13, 2016","$2.99","N/A (N/A)","6,000","2,233,191","00:00 (00:00)"
"43","NORTH","Apr 27, 2016","$1.99","21% (62%)","285,000","2,161,882","00:54 (00:18)"
"44","CountDown","Nov 11, 2016","$1.49","N/A (N/A)","30,000","1,899,924","02:52 (00:57)"
"45","Artifact","Nov 28, 2018","$19.99","12% (53%/76%)","951,000","1,883,529","16:44 (08:43)"
"46","DED","Mar 3, 2017","Free","53% (81%)","59,000","1,809,163","00:00 (00:00)"
"47","Massive","Apr 14, 2016","$9.99","5% (39%)","5,000","1,799,964","00:00 (00:00)"
"48","Grand Theft Auto V","Apr 13, 2015","$14.99","30% (69%/96%)","9,998,000","1,786,680","07:52 (02:16)"
"49","AGE","May 8, 2018","Free","N/A (N/A)","9,000","1,781,302","00:00 (00:00)"
"50","Wreckfest","Jun 14, 2018","$44.99","42% (76%/80%)","537,000","1,765,367","05:49 (02:33)"
"51","VRChat","Feb 1, 2017","Free","71% (88%)","4,082,000","1,673,680","07:29 (01:12)"
"52","blue.","Mar 21, 2018","Free","15% (57%)","14,000","1,665,438","00:00 (00:00)"
"53","Ticket","Aug 16, 2016","$5.99","N/A (N/A)","6,000","1,651,730","00:00 (00:00)"
"54","BUDDY","May 27, 2016","$9.99","7% (44%)","2,000","1,622,118","00:00 (00:00)"
"55","Insurgency: Sandstorm","Dec 12, 2018","$26.99","65% (86%)","114,000","1,618,268","04:09 (02:03)"
"56","ReX","May 17, 2018","$0.99","N/A (N/A)","1,000","1,594,127","00:00 (00:00)"
"57","Sandstorm","Nov 13, 2016","$5.99","N/A (N/A)","35,000","1,579,664","00:00 (00:00)"
"58","OBEY","May 21, 2015","$14.99","55% (82%)","13,000","1,533,436","00:00 (00:00)"
"59","Advent","May 15, 2015","Free","N/A (N/A)","8,000","1,527,777","00:00 (00:00)"
"60","Just Cause 3","Nov 30, 2015","$29.99","35% (72%/74%)","2,078,000","1,526,729","03:51 (01:37)"
"61","PRO EVOLUTION SOCCER 2019","Aug 29, 2018","$59.99","7% (43%/80%)","116,000","1,511,303","11:50 (10:45)"
"62","Brick Rigs","Nov 7, 2016","$14.99","55% (82%)","152,000","1,508,992","02:28 (01:36)"
"63","Lost","Jul 9, 2018","$0.99","N/A (N/A)","6,000","1,498,335","00:00 (00:00)"
"64","The Walking Dead: The Final Season","Aug 14, 2018","N/A","68% (87%)","111,000","1,479,728","00:46 (01:35)"
"65","ROS","Jun 2, 2018","$0.99","N/A (N/A)","1,000","1,470,449","00:00 (00:00)"
"66","The Witcher 3: Wild Hunt","May 18, 2015","$39.99","97% (97%/93%)","5,130,000","1,459,708","08:17 (02:09)"
"67","Bridge!","Oct 28, 2015","$4.99","N/A (N/A)","3,000","1,438,815","00:00 (00:00)"
"68","Experience","Apr 29, 2016","$1.99","4% (33%)","229,000","1,438,646","03:28 (03:49)"
"69","WWE 2K19","Oct 8, 2018","$59.99","27% (67%)","28,000","1,421,204","03:15 (04:32)"
"70","Five Nights at Freddy's 4","Jul 23, 2015","$7.99","83% (92%/51%)","391,000","1,361,130","00:00 (00:00)"
"71","Secret Santa","Dec 1, 2016","$1.99","N/A (N/A)","7,000","1,356,131","00:08 (00:02)"
"72","Escape Room","Dec 11, 2017","Free","N/A (N/A)","4,000","1,336,659","00:00 (00:00)"
"73","The Crew 2","Jun 28, 2018","$19.79","13% (54%)","150,000","1,332,029","04:01 (01:51)"
"74","Scrap","Oct 14, 2017","Free","N/A (N/A)","52,000","1,327,650","00:00 (00:00)"
"75","Monsters!","Oct 25, 2016","$4.99","N/A (N/A)","1,000","1,319,232","00:00 (00:00)"
"76","Geometry Dash","Dec 22, 2014","$3.99","90% (94%)","1,150,000","1,315,430","02:19 (00:17)"
"77","Zenith","Sep 20, 2016","$14.99","38% (74%/57%)","47,000","1,286,977","00:00 (00:00)"
"78","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","62% (85%)","1,044,000","1,266,181","12:05 (06:23)"
"79","Scrap Mechanic","Jan 19, 2016","$19.99","60% (84%)","867,000","1,243,190","03:18 (02:10)"
"80","Jurassic World Evolution","Jun 12, 2018","$54.99","33% (71%/69%)","626,000","1,201,209","07:47 (02:55)"
"81","Rescue Team","Feb 19, 2015","$4.99","80% (91%)","8,000","1,193,933","00:00 (00:00)"
"82","INVISIBLE","Jan 26, 2018","Free","N/A (N/A)","1,000","1,159,279","00:00 (00:00)"
"83","The Challenge","Oct 7, 2016","$10.99","N/A (N/A)","6,000","1,117,458","00:00 (00:00)"
"84","DUEL","Oct 16, 2017","$1.99","N/A (N/A)","1,000","1,107,889","00:00 (00:00)"
"85","Jacob","Jul 6, 2016","N/A","2% (21%)","38,000","1,099,665","00:00 (00:00)"
"86","eden*","Jan 30, 2015","$19.99","95% (96%)","91,000","1,093,119","00:20 (00:13)"
"87","Bendy and the Ink Machine","Apr 27, 2017","$19.99","62% (85%)","727,000","1,069,358","00:01 (00:00)"
"88","Undertale","Sep 15, 2015","$9.99","92% (95%/92%)","3,063,000","1,064,850","01:38 (01:05)"
"89","Mad Max","Sep 1, 2015","$19.99","73% (89%/73%)","1,914,000","1,061,074","03:34 (02:40)"
"90","Mutant Year Zero: Road to Eden","Dec 4, 2018","$34.99","48% (79%/78%)","62,000","1,059,287","05:25 (03:08)"
"91","Fallout 4","Nov 9, 2015","$29.99","32% (70%/84%)","5,050,000","1,055,563","08:06 (01:52)"
"92","Changed","Apr 4, 2018","$5.99","87% (93%)","68,000","1,010,447","01:17 (01:20)"
"93","inVokeR","Jul 20, 2017","$14.99","55% (82%)","7,000","997,136","03:03 (01:01)"
"94","SMITE","Sep 8, 2015","Free","53% (81%/83%)","8,160,000","982,883","12:34 (03:17)"
"95","I, Hope","Feb 21, 2018","$9.99","N/A (N/A)","1,000","979,132","00:00 (00:00)"
"96","Farming Simulator 17","Oct 24, 2016","$24.99","80% (91%/69%)","639,000","976,630","07:04 (02:16)"
"97","Nomad","Jun 26, 2015","Free","17% (59%)","473,000","934,308","01:00 (01:03)"
"98","Oxygen Not Included","May 18, 2017","$24.99","87% (93%)","805,000","933,989","05:44 (01:59)"
"99","Raft","May 23, 2018","$19.99","46% (78%)","724,000","920,554","03:24 (01:23)"
"100","FORWARD","May 1, 2018","Free","N/A (N/A)","7,000","907,095","00:00 (00:00)"
